app_name,google_play_store_id,ios_app_store_id
TikTok,com.zhiliaoapp.musically,1235601864
Netflix,com.netflix.mediaclient,363590051
HBO Max,com.hbo.hbonow,971265422
Hulu,com.hulu.plus,376510438
Amazon Prime Video,com.amazon.avod.thirdpartyclient,545519333
Tubi,com.tubitv,886445756
Viki,com.viki.android,445553058
Crunchyroll,com.crunchyroll.crunchyroid,329913454
Twitch,com.twitch.tv,460177396
Disney+,com.disney.disneyplus,1446075923
YouTube,com.google.android.youtube,544007664
Spotify,com.spotify.music,324684580
Pandora,com.pandora.android,284035177
SoundCloud,com.soundcloud.android,336353151
Tidal,com.aspiro.tidal,913943275
Deezer,deezer.android.app,292738169
iHeartRadio,com.clearchannel.iheartradio.controller,290638154
Shazam,com.shazam.android,284993459
TuneIn Radio,com.tunein.player,418987775
SiriusXM,com.sirius,317951436
Radio FM,com.radio.fmradio,714665068
Stitcher,com.stitcher.app,288087905
Podcasts,com.apple.podcasts,525463029
Audiobooks.com,com.audiobooks.androidapp,595693665
Audible,com.audible.application,379693831
Kindle,com.amazon.kindle,302584613
Wattpad,wp.wattpad,306310789
Google Play Books,com.google.android.apps.books,400989007
Goodreads,com.goodreads,355833469
IMDb Movies & TV,com.imdb.mobile,342792525
Roku,com.roku.remote,482066631
VLC,org.videolan.vlc,650377962
MX Player,com.mxtech.videoplayer.ad,405302691
Kodi,org.xbmc.kodi,696302350
BSPlayer,com.bsplayer.bspandroid.free,366372574
VLC Remote,org.pocketwit.vlcremote,286994029
Dice,com.razumcorp.dice,1140364158
Magic 8-ball,com.magmamobile.game.magic8ball,332310917
Tarot,com.qsoft.cards.tarot,331300341
Horoscope,com.daily.horoscope,1055368333
Netflix Party,com.netflix.npandroid,1460351456
Popcornflix,com.curiousbrain.popcornflix,493605531
Pluto TV,com.pluto.android,745026719
Crackle,com.gotv.crackle.handset,377951542
Tubi TV,com.tubitv,886445756
Popcorn Time,com.popcorntime,1124488469
Yidio,com.yidio.androidapp,946930499
FandangoNOW,com.mgo.application,1055572008
Google Play Movies & TV,com.google.android.videos,746498890
Sling TV,com.sling,945077360
