App Name,Google Play Store ID,iOS App Store ID,iOS Bundle Identifier
Adobe Acrobat Reader,com.adobe.reader,469337564,com.adobe.Adobe-Reader
AirDroid,com.sand.airdroid,946405984,com.sand.airdroid
AppLock,com.domobile.applock,981066721,com.domobile.applock
AVG Cleaner,com.avg.cleaner,1017714454,com.avg.cleaner
CamScanner,com.intsig.camscanner,388627783,com.intsig.camscanner
CCleaner,com.piriform.ccleaner,646445992,com.piriform.ccleanerios
Clean Master,com.cleanmaster.mguard,655502610,com.ksc.cleaner
Dropbox,com.dropbox.android,327630330,com.getdropbox.Dropbox
ES File Explorer,com.estrongs.android.pop,281796108,com.estrongs.iphone
Evernote,com.evernote,281796108,com.evernote.iPhone.Evernote
Google Drive,com.google.android.apps.docs,507874739,com.google.Drive
Google Translate,com.google.android.apps.translate,414706506,com.google.Translate
Grammarly,com.grammarly.android,1158877342,com.grammarly.grammarly
IFTTT,com.ifttt.ifttt,660944635,com.ifttt.ifttt.ifttt
LastPass,com.lastpass.lpandroid,324613447,com.lastpass.ilastpass
Microsoft Excel,com.microsoft.office.excel,586683407,com.microsoft.Office.Excel
Microsoft PowerPoint,com.microsoft.office.powerpoint,586449534,com.microsoft.Office.Powerpoint
Microsoft Word,com.microsoft.office.word,586447913,com.microsoft.Office.Word
MyFitnessPal,com.myfitnesspal.android,341232718,com.myfitnesspal.MyFitnessPal
Notion,notion.id,1232780281,notion.id
Nova Launcher,com.teslacoilsw.launcher,1291438553,com.teslacoilsw.launcher
OfficeSuite,com.mobisystems.office,366364109,com.mobisystems.OfficeSuite
Outlook,com.microsoft.office.outlook,951937596,com.microsoft.Office.Outlook
PDF Extra,com.mobisystems.office.pdfeditor,1175540289,com.mobisystems.PDFExtra
PicsArt,com.picsart.studio,587366035,com.picsart.PicsArt-Studio
Pocket,com.ideashower.readitlater.pro,309601447,com.ideashower.ReadItLaterPro
QR Code Reader,com.qrcodescanner.barcodescanner,381698089,com.qrcodescanner.QRCodeReader
QuickBooks,com.intuit.quickbooks,584606479,com.intuit.quickbooks
QuickPic,com.alensw.PicFolder,720906663,com.alensw.PicFolder-iOS
RAR,com.rarlab.rar,1131357112,com.rarlab.RAR-iOS
Shazam,com.shazam.android,284993459,com.shazam.Shazam
Slack,com.Slack,618783545,com.tinyspeck.chatlyio
Photo Editor Pro,com.zentertain.photoeditor,1050214552,com.zentertain.PhotoEditorPro
Flashlight & LED Torch,com.peacock.flashlight,474473231,com.smalltech.ledflashlight.free
QR Code Reader,me.scan.android.client,1116905928,com.scan.qr.code.reader
Calculator,com.google.android.calculator,1426844542,com.apple.calculator
Google Translate,com.google.android.apps.translate,414706506,com.google.Translate
File Manager,com.alphainventor.filemanager,1139850441,com.skyjos.apps.fileexplorer
RAR,com.rarlab.rar,535886823,com.rarlab.rar
ColorNote Notepad Notes,com.socialnmobile.dictapps.notepad.color.note,491854541,com.socialnmobile.colornote
SHAREit,com.lenovo.anyshare.gps,725215120,com.anyshare.cordova
Security Master,com.cleanmaster.security,1063790693,com.cleanmaster.security.free
All-In-One Toolbox,imoblife.toolbox.full,525427203,com.imoblife.toolbox.full
Google Drive,com.google.android.apps.docs,507874739,com.google.Drive
Poweramp Music Player,com.maxmpz.audioplayer,1144502520,com.maxmpz.audioplayer
Speedtest by Ookla,org.zwanoo.android.speedtest,300704847,com.ookla.speedtest
Samsung Smart Switch Mobile,com.sec.android.easyMover,935972730,com.samsung.smartswitch
MX Player,com.mxtech.videoplayer.ad,405204959,com.mxtech.videoplayer.ad
Google Keep,com.google.android.keep,1029207872,com.google.Keep
Avast Antivirus,com.avast.android.mobilesecurity,580486840,com.avast.ios.mobilesecurity
