,source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,language_code,country_code,laguage_code
0,Google Play,1b69ad50-151d-479c-9917-b820256268b7,Jitendra Baghel,,Vary nice app,5,0,2023-03-14 20:35:20,,,en,us,
1,Google Play,2f5a867e-d242-4f2b-adb5-f328b41dc042,naresh Kumar,,Naivu😭,5,0,2023-03-14 20:34:57,,,en,us,
2,Google Play,02f4d6bf-0fa2-4544-a041-3844b93b142c,Rashad Muhammad,,Awesome,5,0,2023-03-14 20:34:33,,,en,us,
3,Google Play,27a2e3fd-8ad1-41a9-90f7-42e012ee123f,Narendra Solanki,,Nn Nice app,1,0,2023-03-14 20:34:21,,,en,us,
4,Google Play,7a626250-609e-459d-9857-edad72cb75c5,Suneesh Joseph,,No bad but my,1,0,2023-03-14 20:34:13,,,en,us,
5,Google Play,b9a516ea-fe56-434d-8d50-28a389652f1b,Linds Marie,,Amazing is my life,5,0,2023-03-14 20:34:01,,,en,us,
6,Google Play,d5c4d23a-4efe-4919-a41e-572ff16fe4d1,Shivam Suryabnshi,,Mujhe Instagram per abhi tak bonus ka option nahin mila hai please mujhe bonus ka option De dijiyega,5,0,2023-03-14 20:33:14,,,en,us,
7,Google Play,3e2b7a17-3a41-4105-b183-9987034deae4,Saraunsh Jadhav,,Very bugs and glich,2,0,2023-03-14 20:32:53,,,en,us,
8,Google Play,c91a4f90-f0df-4832-9b48-a52e543c6550,Baba Shabir,,Shabik,4,0,2023-03-14 20:32:31,,,en,us,
9,Google Play,86f5c51e-a9ca-4f4b-b251-e2af8bd0d247,Shathana Shanthi,,The app was very nice but some time there was problem,3,0,2023-03-14 20:32:21,,,en,us,
10,Google Play,52be6137-0827-4b2f-8910-c5ac63682559,Akash kumar,,Hii dear friends happy,5,0,2023-03-14 20:32:06,,,en,us,
11,Google Play,cb1907b9-ebc9-4507-bfa2-bf4cfbc3bd82,Clinton Sizwe,,I jst love everything bout it,5,0,2023-03-14 20:31:05,,,en,us,
12,Google Play,21644c23-9a15-4133-9cef-b817608a82bc,Lucas Ruthberg,,yeah man it's pretty cool,4,0,2023-03-14 20:30:37,,,en,us,
13,Google Play,f6ed8513-6919-458b-869d-d9d6cdcdb6f2,Prem Narayan,,10k follow Kar do please 🙏,5,0,2023-03-14 20:29:34,,,en,us,
14,Google Play,84743df6-f8c8-4fc1-a860-7a1c27d78c1e,Anvesh Anu,,favourite app of main,5,1,2023-03-14 20:29:19,,,en,us,
15,Google Play,dd4ee8b8-2536-4e15-8ee1-96cda74b3205,Surendra Behera,,Nice,5,0,2023-03-14 20:29:10,,,en,us,
16,Google Play,0a3ea0a2-7300-49be-b710-229d3f9f3fb6,Piyush Singh,,It's good but views are not going good,5,0,2023-03-14 20:28:52,,,en,us,
17,Google Play,4b43140c-c5c9-4db1-9196-f3473de4a5f7,Yuvi Singh 3173,,Yuvraj Singh mahla,5,0,2023-03-14 20:28:40,,,en,us,
18,Google Play,feb0d588-261b-4196-8464-09bc48515053,Muskan Khan8218,,Osm,4,0,2023-03-14 20:27:53,,,en,us,
19,Google Play,4edc194c-85b3-43d0-b3d7-756ada8ebd5c,mojgan mirzaei,,Best,5,0,2023-03-14 20:27:33,,,en,us,
20,Google Play,e4b670a8-8ef0-4292-80d4-58586d8219be,Danish makrani,,One of the best app thanks for launching instagram ☺,5,0,2023-03-14 20:27:29,,,en,us,
21,Google Play,dafd798e-e039-4820-8750-bf3c38daeb0f,Yuvan A,,ATTTU,5,0,2023-03-14 20:26:09,,,en,us,
22,Google Play,90b9e0ed-f3e1-4680-83e5-4d7a1c0002f2,Devendra Ghatasker,,Badiya,5,0,2023-03-14 20:26:01,,,en,us,
23,Google Play,a588d07c-b5d5-4702-bd29-3d700355ffaf,pancho,,Cool,5,0,2023-03-14 20:25:23,,,en,us,
24,Google Play,8995c7c0-5d4d-4077-977f-9a8e32f7500d,Kailash Thakrey,,Rahul Padvi46,1,0,2023-03-14 20:25:17,,,en,us,
25,Google Play,551553d9-2f76-4560-a618-15d2b33b9d92,Israel Persian,,Why I can not upload video more than 1 minut ??,1,0,2023-03-14 20:24:35,,,en,us,
26,Google Play,b0049c17-1bab-4979-9bc2-84892d86bb99,Shivam Chaudhari,,Dear Instagram team. I don't see the theme option for the chat please renew it. @its._pikachu_007,2,0,2023-03-14 20:24:34,,,en,us,
27,Google Play,aa6564a9-4e7c-44b1-a8b9-6dfc7ba91df4,Akiro Geronimo,,Very good app,5,0,2023-03-14 20:23:55,,,en,us,
28,Google Play,a15bb874-ca19-4046-9ffe-023967f29d62,Abdul Hamid sani,,I am very happy Bahot mst app है Me bahot khush hoon Ise use karke प्लीज़ मेरा follower 1Lakh kardo instagram meri ichha hai नहीं तो Me instagram delete kar doonga aur rating jo star five diye हैं वो bhi le लूँगा,5,0,2023-03-14 20:23:47,,,en,us,
29,Google Play,4fdd8d09-60c7-48ca-ad93-59aae4556a2a,Swadhin Kindo,,Thank,5,0,2023-03-14 20:23:33,,,en,us,
30,Google Play,07e6b548-88df-4ca1-b719-2ec6e4b1df67,Ritish Thakur,,It is very helpful app,5,0,2023-03-14 20:22:59,,,en,us,
31,Google Play,b57bae6d-a53c-4439-b140-bc01e23ee539,Samsong A,,So good better then toktok like it,5,0,2023-03-14 20:22:59,,,en,us,
32,Google Play,11599bf3-5e69-4321-9e38-6b7fd89a8fe1,Dj Lol,,😍😍😍😍😍😍😍😍😍,5,0,2023-03-14 20:22:51,,,en,us,
33,Google Play,bf8c9517-5db1-463c-95f4-b21e89f95949,Nora Chiong,,I love this apps😍😍😘😘,5,0,2023-03-14 20:22:29,,,en,us,
34,Google Play,78eb760d-71b3-4297-8a57-51af687c66bc,Lisa Tart,,It's been different,5,0,2023-03-14 20:21:19,,,en,us,
35,Google Play,d4868a15-7699-48f1-84d4-3d993aa699f2,Mukesh Kumar,,Powerful and interesting app,4,0,2023-03-14 20:21:15,,,en,us,
36,Google Play,29140a23-e0d8-4123-bd59-9d63d6d0aa18,Mike Cohcran,,Amazing,5,0,2023-03-14 20:19:57,,,en,us,
37,Google Play,6c22fb63-17a5-492f-8ca6-43657d388111,Aman Somvanshi,,It's very unique plateform for aal creater,3,0,2023-03-14 20:19:31,,,en,us,
38,Google Play,f0d897ee-cb9b-4356-80cc-0f5def4a645e,Abhishek Kumar,,Very very good 👍 app 3 star ⭐⭐⭐,3,0,2023-03-14 20:19:20,,,en,us,
39,Google Play,831b7c7d-df73-4078-8fed-fd726cff8e2b,Sanoar Mallik,,Super app,5,0,2023-03-14 20:19:00,,,en,us,
40,Google Play,192ebd96-ca56-4402-b9fc-3b483f50eb90,pushpendra Pushpendra,,anshu raj,5,0,2023-03-14 20:18:54,,,en,us,
41,Google Play,04bd6a45-bba5-4aab-8d9e-00337934f511,aryan raj,,Online cheat and online video call free aap amazing 😍🤩😍,1,0,2023-03-14 20:18:28,,,en,us,
42,Google Play,9bc7d995-a562-4e16-bb2e-6b612dbe1bd0,Gunel Sultani,,Very good 👍,5,0,2023-03-14 20:18:21,,,en,us,
43,Google Play,fb68b121-b69e-46b6-96ac-446ec272586f,Alan T Bijumon,,Never seen app like this,5,0,2023-03-14 20:17:56,,,en,us,
44,Google Play,988897ab-2df8-4247-9d67-9d1ca73eb6b5,Rambahadur Shukla,,Bhoot aacha lgta hai chala kr insta,5,0,2023-03-14 20:17:41,,,en,us,
45,Google Play,a0952471-e54c-4b86-99cb-62145b321cb8,Surya Prakas,,"I couldn't see the reels option in the app for long time, no luck on getting it back on my pixel",1,0,2023-03-14 20:16:45,,,en,us,
46,Google Play,1bfde8c0-40dc-4903-8799-20013c1fc75c,valentina Sandi,,"Buena solo q la acaba de instalar y no me sale el de hacer encuestas ni de 
hazme una pregunta 💔☹️",5,0,2023-03-14 20:16:34,,,en,us,
47,Google Play,1457218c-1e66-4712-bf4e-ec5786d4bdb6,Vishal Pippal,,😇😇😇😇,5,0,2023-03-14 20:16:24,,,en,us,
48,Google Play,9a5623a8-544e-4f50-a4e6-ec08ffdb5a63,Kamal Aarse,,Neha,5,0,2023-03-14 20:16:07,,,en,us,
49,Google Play,de13487c-6bf7-46aa-bfa3-a8b367c4482a,Manju PS,,This apps is dope Wow I like this app a lot. It may have some lag sometimes but after all of that this app is the best social media,5,0,2023-03-14 20:15:49,,,en,us,
